date,username,tweet
5/10/2022 15:14,FaishalIshal5,@LukeSusilo @PrinceJanvierX @Ucokkkkkkk5 @waltzwq_ lah digrebek di hotel melati itu kan ada dasarnya kita ada yang namannya Kasus Perselingkuhan Perzinahan dalam Kitab Undang – undang Hukum Pidana (KUHP) diatur dalam pasal 284 KUHP . sementara LGBT ini kegiatannya masuk Pasal 421
5/10/2022 15:14,ferriseverdean,"@yourbeautygame @Partono_ADjem Mesti jadi top komen sih ini.  Lagian acara di media juga 95% diisi dengan acara para hetero, disodorkan dipertontonkan di mana-mana, sementara acara lgbt selalu kena sensor, masih ada aja kan yang lgbtq?"
5/10/2022 15:14,hendraagueezer2,@bachrum_achmadi Real fuckin stupid!!!ditengah2 bangsa yg menolak keras LGBT kok malah berani2 tampil di publik???
5/10/2022 15:14,tribunbanten,Deddy Corbuzier Minta Maaf dan Take Down Video Podcast LGBT: Saya Hanya Melihat Mereka Sebagai Manusia    https://t.co/bm8uNUHFtH via @tribunbanten
5/10/2022 15:13,archon_sumatera,Y Allah kuatkan sy agar tdk tertular virus LGBT macam ni
5/10/2022 15:13,Just_Bide,I mean lu knp harus insecure sama argument2 lgbt sih?  https://t.co/OF0G47eZdU
5/10/2022 15:13,Ant01302,NGUEHEHEHEHEHE KANG CEPU!   #UnsubscribePodcastDeddy Gus Miftah Winda LGBT 10 Mei THR Habis  https://t.co/6V9f3nJKCg
5/10/2022 15:13,Belok_dong,@TuaGilaAndalas1 @jar2ray @cahayamalam1000 @Lissong_aja @Sangkuriang5551 @Ikotjo @MadamBacotz @KangUtang04 @AhmadMuztahidi1 @Endriyw @misstwit_id @RizkiAsihan @DOLLCATCHER01 @DHEASAROH @emprosay @T0nyH3R5_5W @FreeStranger22 @papa_loren Nongol lagi gembel LGBT dar Padang
5/10/2022 15:13,mhafizalgerry,"@estiningsihdwi Bener banget, kisah2 trauma masa lalu dan kecil lah yg membuat mereka menjadi lgbt.  Dan setan2 lgbt ini selalu mencari korban anak kecil krn kemungkinan melawan sangat kecil."
5/10/2022 15:13,Gojidfearless,"@CNNIndonesia Yg sok2an jadi pahlawan kesiangan ngebela2in kaum LGBT, semoga nanti anak ato anggota keluarga lo gak jadi gay ato lesbian ya...."
5/10/2022 15:12,HarapanBaru16,"@cholilnafis Bukan kali ini aja dia ""promosi"" LGBT yai, mudah-mudahan dia takedown semua"
